Planet Transit Midpoint Value,Planet Transit Midpoint Upper Unc,Planet Transit Midpoint Lower Unc,Planet Transit Midpoint Limit Flag,Planet Orbital Period Value,Planet Orbital Period Upper Unc,Planet Orbital Period Lower Unc,Planet Orbital Period Limit Flag,Planet Transit Duration Value,Planet Transit Duration Upper Unc,Planet Transit Duration Lower Unc,Planet Transit Duration Limit Flag,Planet Transit Depth Value,Planet Transit Depth Upper Unc,Planet Transit Depth Lower Unc,Planet Transit Depth Limit Flag,Planet Radius Value,Planet Radius Value Upper Unc,Planet Radius Value Lower Unc,Planet Radius Limit Flag,Planet Insolation Value,Planet Equilibrium Temperature Value,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,TESS Magnitude Limit Flag,Stellar Distance,Stellar Distance Upper Unc,Stellar Distance Lower Unc,Stellar Distance Limit Flag,Stellar Effective Temperature Value,Stellar Effective Termperature Upper Unc,Stellar Effective Termperature Lower Unc,Stellar Effective Temperature Limit Flag,Stellar log(g) Value,Stellar log(g) Upper Unc,Stellar log(g) Lower Unc,Stellar log(g) Limit Flag,Stellar Radius Value,Stellar Radius Upper Unc,Stellar Radius Lower Unc,Stellar Radius Limit Flag,Label
2459237.459734,0.006504,-0.006504,0,14.2694372,0.009218700000000002,-0.009218700000000002,0,6.9350494000000005,0.466316,-0.466316,0,1246.3921871,94.588425,-94.588425,0,3.7255381,0.2679282,-0.2679282,0,51.258849600000005,682.4360542000001,9.9138,0.006,-0.006,0,105.677,0.2575,-0.2575,0,5690.0,129.0,-129.0,0,4.58,0.08,-0.08,0,0.8538979999999999,0.041389499999999996,-0.041389499999999996,0,0
2459302.373799,0.0016010000000000002,-0.0016010000000000002,0,3.2834447,9.1e-06,-9.1e-06,0,1.384,0.299,-0.299,0,1220.0,2.1221799999999997,-2.1221799999999997,0,2.6999400000000002,0.264858,-0.264858,0,79.7847,832.0,10.2103,0.006,-0.006,0,56.3449,0.13245,-0.13245,0,4272.0,122.7,-122.7,0,4.6,0.11,-0.11,0,0.68,0.06,-0.06,0,0
2459304.62844,0.0035369999999999998,-0.0035369999999999998,0,11.028585699999999,7.049999999999999e-05,-7.049999999999999e-05,0,3.164,0.827,-0.827,0,1770.0,6.50439,-6.50439,0,3.12111,0.33805999999999997,-0.33805999999999997,0,53.4063,753.0,10.2103,0.006,-0.006,0,56.3449,0.13245,-0.13245,0,4272.0,122.7,-122.7,0,4.6,0.11,-0.11,0,0.68,0.06,-0.06,0,0
2458544.48066,0.00412,-0.00412,0,1.01606,0.00033999999999999997,-0.00033999999999999997,0,2.843,0.278,-0.278,0,240.0,0.375709,-0.375709,0,1.20704,0.0989898,-0.0989898,0,2784.04,2023.0,7.9059,0.006,-0.006,0,23.7748,0.02025,-0.02025,0,4634.0,120.9,-120.9,0,4.64,0.09,-0.09,0,0.68,0.05,-0.05,0,0
2458551.32747,0.00132,-0.00132,0,12.12369,0.0007599999999999999,-0.0007599999999999999,0,4.849,0.211,-0.211,0,6142.77,1221.98,-1221.98,0,9.256639999999999,4.13505,-4.13505,0,223.195,1076.0,9.5706,0.006,-0.006,0,78.41273000000001,2.83992,-2.83992,0,4807.6,60.0,-60.0,0,4.17,0.36,-0.36,0,1.07,0.03,-0.03,0,0
2459282.239861,0.002046,-0.002046,0,5.649683400000001,0.0008136000000000002,-0.0008136000000000002,0,2.5612882000000003,0.407146,-0.407146,0,1194.3338558,103.68587,-103.68587,0,6.7892616,2.551151,-2.551151,0,1226.2203257,1509.2524073,9.7318,0.006,-0.006,0,270.771,1.6275,-1.6275,0,6415.4,103.2,-103.2,0,3.98,0.08,-0.08,0,1.9220001,0.0794221,-0.0794221,0,0
2459283.829887,0.0014349999999999999,-0.0014349999999999999,0,5.664473,0.0007689,-0.0007689,0,3.6459666,0.12058419999999999,-0.12058419999999999,0,3449.5814551,161.11594,-161.11594,0,14.3057012,0.8767855999999999,-0.8767855999999999,0,7657.477368600001,2385.8392559,9.7611,0.006,-0.006,0,587.196,18.7865,-18.7865,0,10395.0,320.6,-320.6,0,4.13,0.07,-0.07,0,2.3383701,0.109357,-0.109357,0,0
2459283.337537,0.0034840000000000006,-0.0034840000000000006,0,3.6344692000000003,0.0009773,-0.0009773,0,2.5339234,0.5744699000000001,-0.5744699000000001,0,628.699015,56.304756000000005,-56.304756000000005,0,4.2048368,2.1508167,-2.1508167,0,5420.178349,2188.3820499000003,9.8174,0.006,-0.006,0,363.44,4.983,-4.983,0,9810.0,173.7,-173.7,0,4.43,0.06,-0.06,0,1.60776,0.042773900000000004,-0.042773900000000004,0,0
2459311.16903,0.001083,-0.001083,0,6.0749453,0.0005713,-0.0005713,0,2.5945424,0.08760119999999999,-0.08760119999999999,0,6048.081654199999,194.73042,-194.73042,0,29.1368995,13.667063,-13.667063,0,1487.4019595,1583.8966377,10.1126,0.006,-0.006,0,347.556,13.63,-13.63,0,5964.0,128.4,-128.4,0,3.7,0.09,-0.09,0,2.4303801,0.151568,-0.151568,0,0
2459303.945357,0.0018280000000000002,-0.0018280000000000002,0,3.7795364,1.31e-05,-1.31e-05,0,3.238,0.499,-0.499,0,2340.0,3.59016,-3.59016,0,6.10966,0.392505,-0.392505,0,973.181,1556.0,10.2855,0.006,-0.006,0,184.015,0.962,-0.962,0,5771.0,132.3,-132.3,0,4.31,0.08,-0.08,0,1.18,0.06,-0.06,0,0
2459308.3056349996,0.0017699999999999999,-0.0017699999999999999,0,1.2013272,0.00015419999999999998,-0.00015419999999999998,0,3.4475373999999994,0.3109844,-0.3109844,0,427.39258830000006,23.527243,-23.527243,0,3.7397226000000003,0.9475492,-0.9475492,0,22275.435005000003,3115.8482486,9.0211,0.006,-0.006,0,279.698,3.279,-3.279,0,9158.0,171.4,-171.4,0,4.32,0.07,-0.07,0,1.7416101000000002,0.0494849,-0.0494849,0,0
2459261.8012159998,0.0004,-0.0004,0,8.30792,0.00037,-0.00037,0,3.228,0.089,-0.089,0,8350.0,160.238,-160.238,0,43.1068,4.42399,-4.42399,0,2276.25,1924.0,8.0981,0.006,-0.006,0,305.034,2.981,-2.981,0,9081.0,173.2,-173.2,0,3.83,0.07,-0.07,0,3.05,0.09,-0.09,0,0
2459331.36642,0.0008619999999999999,-0.0008619999999999999,0,0.7581018,1.2e-06,-1.2e-06,0,1.078,0.192,-0.192,0,780.0,0.708192,-0.708192,0,10.0744,0.473762,-0.473762,0,17894.0,3222.0,9.718,0.006,-0.006,0,792.633,19.4965,-19.4965,0,9917.0,199.6,-199.6,0,3.75,0.06,-0.06,0,3.51,0.12,-0.12,0,0
2459305.3558630003,0.0035689999999999997,-0.0035689999999999997,0,1.4415711000000002,8.599999999999999e-06,-8.599999999999999e-06,0,2.382,0.266,-0.266,0,440.0,0.535586,-0.535586,0,3.06814,0.176539,-0.176539,0,4670.42,2303.0,9.5719,0.006,-0.006,0,208.055,1.1015,-1.1015,0,6902.0,135.7,-135.7,0,4.25,0.09,-0.09,0,1.52,0.06,-0.06,0,0
2459301.544126,0.000611,-0.000611,0,3.7039994,3.7000000000000006e-06,-3.7000000000000006e-06,0,4.277,0.599,-0.599,0,7590.0,1.22092,-1.22092,0,17.57,0.7465729999999999,-0.7465729999999999,0,3546.13,2149.0,9.6306,0.006,-0.006,0,300.696,3.3695,-3.3695,0,7013.8,299.6,-299.6,0,4.21,0.44,-0.44,0,1.9,0.08,-0.08,0,0
2459255.7600330003,0.0016120000000000002,-0.0016120000000000002,0,1.3038898,0.0001524,-0.0001524,0,2.0447387999999997,0.40845490000000007,-0.40845490000000007,0,747.4366999,54.030025,-54.030025,0,4.912990799999999,2.717577,-2.717577,0,8225.7238977,2428.9203951,10.0119,0.006,-0.006,0,301.298,2.496,-2.496,0,6762.0,130.2,-130.2,0,4.11,0.08,-0.08,0,1.75289,0.0720352,-0.0720352,0,0
